year;LAIpine;LAIspruce;LAIdecid;LAItot;LAItot_radi;CO2;f_vcmax
1997;2.101;0.974;0.721;3.796;NaN;359.60;0.950
1998;2.122;0.984;0.728;3.834;NaN;363.69;0.955
1999;2.150;0.997;0.738;3.884;NaN;369.65;0.960
2000;2.190;1.016;0.752;3.959;NaN;376.17;0.965
2001;2.229;1.033;0.766;4.027;NaN;374.46;0.970
2002;1.772;0.846;0.570;3.188;NaN;374.67;0.975
2003;1.789;0.855;0.576;3.220;NaN;376.28;0.980
2004;1.831;0.890;0.697;3.419;3.095;377.93;0.985
2005;1.867;0.921;0.802;3.590;3.329;378.36;0.990
2006;1.893;0.943;0.874;3.709;3.032;379.32;0.995
2007;1.927;0.972;0.973;3.872;3.347;386.63;1.000
2008;1.955;0.996;1.054;4.005;3.278;387.14;1.005
2009;1.955;0.996;1.054;4.005;3.353;391.28;1.010
2010;1.877;1.009;1.068;3.954;2.885;393.75;1.015
2011;1.929;1.037;1.097;4.064;3.233;395.44;1.020
2012;1.962;1.065;1.111;4.139;3.476;399.25;1.025
2013;1.995;1.093;1.126;4.214;3.549;399.72;1.030
2014;2.028;1.121;1.140;4.289;3.493;400.70;1.035
2015;2.061;1.149;1.154;4.364;3.654;403.05;1.040
2016;2.094;1.177;1.169;4.440;3.476;406.60;1.045
2017;2.127;1.205;1.183;4.515;3.642;408.00;1.050
